"","non","C","A","G","X","X1","X2","X3","node"
"234",0,9.14356429025444e-19,1,8.93558357000919e-19,2.7451355575723e-23,6.02962070883256e-33,2.74352709309312e-23,1.51182532663878e-45,234
"235",0,5.36026003381873e-18,1,5.3571192849053e-18,2.55485626549319e-22,6.0299446818605e-32,2.55481855901828e-22,1.30924647269698e-43,235
"236",0,4.81420207089837e-18,1,4.81138127492434e-18,2.67235288392352e-22,5.95644927651686e-32,2.67231344335876e-22,1.43218650060291e-43,236
"237",0,5.35244005555486e-18,1,5.23069274755919e-18,6.07979557984034e-23,6.20908123099513e-32,6.07623322813399e-23,7.41865263211619e-45,237
"238",0,3.76300756247172e-18,1,3.76080269520064e-18,5.6337947822952e-23,3.33792121437459e-32,5.63371163420746e-23,6.36771775334402e-45,238
"239",0,4.02888633002597e-18,1,4.02882686878966e-18,1.63294186208554e-22,3.33344471372632e-32,1.63294125538469e-22,5.34791512989397e-44,239
"240",0,9.99654773599112e-18,1,5.03629533036271e-19,6.97396596847929e-24,9.23982921241934e-33,3.66365858325534e-24,6.48697315969752e-47,240
"241",0,9.68389266399543e-19,1,5.08727473923747e-19,7.57714574846466e-24,5.18018021060053e-33,7.40479492181229e-24,1.14729671941201e-46,241
"242",0,6.82683552451356e-18,1,6.67155142256903e-18,6.60735458512553e-23,5.54792669451472e-32,6.60348311777423e-23,8.76920678696368e-45,242
"243",0,7.23042292640023e-18,1,7.22618638884302e-18,3.83866373063529e-22,1.03882537616753e-31,3.83860707670568e-22,2.95372370603326e-43,243
"244",0,9.42398705915385e-19,1,9.20962780559299e-19,2.41105193650108e-23,7.1068695864684e-33,2.40963922302642e-23,1.16580091874225e-45,244
"245",0,4.779250318483e-18,1,4.77645000186589e-18,3.03271149901576e-22,6.72089567211948e-32,3.03266674002491e-22,1.84428646158424e-43,245
"246",0,6.86908513244869e-18,1,6.86506031433729e-18,2.42372968753564e-22,6.53851681455686e-32,2.42369391629777e-22,1.17887755658832e-43,246
"247",0,1.3539837284534e-18,1,7.11293222477503e-19,1.04801090825931e-23,8.41630358553921e-33,1.02417270540914e-23,2.19187254411004e-46,247
"248",0,6.45227679430817e-18,1,6.30551245468054e-18,6.39467651541269e-23,5.62405085042622e-32,6.39092966228833e-23,8.21283361794945e-45,248
"249",0,3.9339806953289e-18,1,3.93167564939524e-18,7.42173475997117e-23,4.98646738828894e-32,7.42162522429523e-23,1.1042671773531e-44,249
"250",0,4.54286479177805e-18,1,4.54279774487358e-18,1.68486655639751e-22,3.69403127412812e-32,1.68486593040337e-22,5.69669993923133e-44,250
"251",0,4.83770210021231e-18,1,4.72766308969138e-18,8.34414885184551e-23,7.70592357505211e-32,8.33925974462278e-23,1.39602794792474e-44,251
"252",0,3.3108067323732e-18,1,3.3088668241259e-18,4.10468542616785e-23,2.78440832366899e-32,4.10462484577039e-23,3.38254520366553e-45,252
"253",0,3.97179562764611e-18,1,3.97173700899593e-18,1.26769855231036e-22,2.58453096288754e-32,1.26769808131119e-22,3.2240592139806e-44,253
"254",0,0.999999999966303,6.90615848889475e-12,2.67908493390058e-11,6.87168794987911e-27,5.88524871715228e-27,2.57016365419471e-26,4.5681463797404e-53,254
"255",0,1,1.14790458379367e-19,1.17709804992221e-19,5.86010606258943e-25,5.86386497269992e-25,6.70391436549944e-35,6.88958362678788e-49,255
"256",0,1,4.14038817081046e-19,4.14304398421717e-19,4.94004968047552e-24,4.94012945344945e-24,2.25009105891389e-33,4.89099495891098e-47,256
"257",0,1,7.53763457638247e-18,7.53775629569698e-18,6.69708762205577e-23,6.69709034449491e-23,8.66246711696299e-32,8.99424662999886e-45,257
"258",0,1,5.77196984597761e-18,5.77197219234499e-18,1.15584776879464e-22,1.15584778062293e-22,6.71573598822874e-32,2.67928257813127e-44,258
"259",0,1,5.14003405083626e-18,5.14003410343616e-18,3.17997579407365e-22,3.17997579489285e-22,7.28513430116383e-32,2.02745296855314e-43,259
"260",0,1,5.52331512180525e-19,5.52340431346394e-19,9.82509045068473e-24,9.82509444469133e-24,2.42651898738467e-33,1.93590977285191e-46,260
"261",0,1,9.99280813844832e-19,9.99281220063155e-19,1.10940275646459e-23,1.10940276781754e-23,5.38422201734318e-33,2.46910631072893e-46,261
"262",0,1,5.46652596492103e-18,5.46652602086205e-18,3.75270876526075e-22,3.75270876622749e-22,8.81795440212419e-32,2.82276890331019e-43,262
