,non,C,A,G,X,X1,X2,X3,node,tip,Species
321,0,1,4.05E-18,4.05E-18,1.61E-22,1.61E-22,3.32E-32,5.19E-44,321,NA,NA
322,0,1,7.43E-18,7.43E-18,3.45E-23,3.45E-23,6.20E-32,2.38E-45,322,NA,NA
323,0,1,5.91E-18,5.91E-18,4.22E-23,4.22E-23,5.41E-32,3.57E-45,323,NA,NA
324,0,1,4.59E-18,4.59E-18,5.75E-23,5.75E-23,3.93E-32,6.62E-45,324,NA,NA
325,0,1,5.08E-18,5.08E-18,2.17E-22,2.17E-22,4.96E-32,9.46E-44,325,NA,NA
326,0,1,3.79E-19,3.79E-19,9.23E-24,9.23E-24,8.06E-34,1.71E-46,326,NA,NA
327,0,1,7.86E-19,7.86E-19,1.81E-23,1.81E-23,4.14E-33,6.58E-46,327,NA,NA
328,0,1,3.80E-18,3.80E-18,8.48E-23,8.48E-23,5.63E-32,1.44E-44,328,NA,NA
329,0,1,4.40E-18,4.40E-18,1.60E-22,1.60E-22,3.47E-32,5.12E-44,329,NA,NA
330,0,1,4.64E-18,4.64E-18,8.07E-23,8.07E-23,5.27E-32,1.30E-44,330,NA,NA
331,0,1,4.97E-18,4.97E-18,2.24E-22,2.24E-22,5.08E-32,1.01E-43,331,NA,NA
332,0,1,8.59E-19,8.59E-19,1.76E-23,1.76E-23,5.21E-33,6.24E-46,332,NA,NA
333,0,1,5.23E-18,5.23E-18,3.84E-22,3.84E-22,8.86E-32,2.95E-43,333,NA,NA
334,0,1,6.42E-19,6.42E-19,9.76E-24,9.76E-24,2.46E-33,1.91E-46,334,NA,NA
335,0,1,5.22E-18,5.22E-18,2.56E-22,2.56E-22,5.89E-32,1.31E-43,335,NA,NA
336,0,1,3.40E-18,3.40E-18,4.53E-23,4.53E-23,2.87E-32,4.11E-45,336,NA,NA
337,0,1,3.95E-18,3.95E-18,1.35E-22,1.35E-22,2.74E-32,3.65E-44,337,NA,NA
