20426gumhon 0.999920 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
20427gumhon 0.999920 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
20428gumhon 0.999920 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
20429ranhon 0.051624 0.000010 0.054958 0.012484 0.158650 0.556020 0.120337 0.045906 0.000010
20430ranhon 0.049140 0.000010 0.079238 0.000010 0.159344 0.547791 0.124115 0.040343 0.000010
20433abehon 0.073182 0.000010 0.089078 0.034723 0.217437 0.476883 0.054652 0.054025 0.000010
20435chlhon 0.084631 0.001371 0.068901 0.000357 0.301670 0.421371 0.061661 0.060027 0.000010
20551puehon 0.017640 0.007257 0.074288 0.094487 0.218961 0.538335 0.026336 0.022686 0.000010
20552puehon 0.023595 0.000010 0.130953 0.032575 0.253503 0.472259 0.035430 0.051666 0.000010
20553puehon 0.027660 0.009583 0.121604 0.030877 0.243333 0.474080 0.029987 0.062002 0.000876
20554puehon 0.024831 0.007492 0.093686 0.057120 0.222911 0.526228 0.037793 0.029928 0.000010
20555puehon 0.027592 0.012033 0.088026 0.043618 0.245800 0.514702 0.027281 0.040936 0.000010
20556puehon 0.023182 0.015406 0.107398 0.040875 0.231752 0.489661 0.023447 0.068271 0.000010
20558puehon 0.024439 0.009543 0.104954 0.052962 0.172476 0.548965 0.030682 0.055969 0.000010
20559puehon 0.032355 0.005178 0.093243 0.036497 0.223059 0.508645 0.039067 0.061946 0.000010
20560unihon 0.012148 0.013832 0.050395 0.025634 0.169406 0.678193 0.030041 0.020340 0.000010
20561unihon 0.018331 0.013863 0.065032 0.039140 0.158564 0.655845 0.023442 0.025773 0.000010
20562unihon 0.018590 0.031377 0.054739 0.042965 0.169012 0.648789 0.007305 0.027212 0.000010
20563unihon 0.017076 0.016640 0.065417 0.037320 0.170223 0.625224 0.040807 0.027284 0.000010
20564unihon 0.013924 0.020732 0.054252 0.050701 0.148310 0.655556 0.015683 0.040833 0.000010
20565unihon 0.026866 0.016757 0.083129 0.026013 0.176059 0.612325 0.023521 0.035322 0.000010
20566unihon 0.017013 0.013519 0.060456 0.037240 0.186393 0.637103 0.026640 0.021611 0.000025
20567unihon 0.015631 0.014434 0.060692 0.043652 0.155969 0.645376 0.027914 0.036322 0.000010
20568unihon 0.021648 0.018596 0.062566 0.023298 0.189885 0.638041 0.029553 0.016404 0.000010
20571unihon 0.018227 0.010445 0.054600 0.027692 0.186785 0.646845 0.038981 0.016414 0.000010
20572unihon 0.014899 0.020631 0.067535 0.026783 0.180159 0.656164 0.021031 0.012787 0.000010
20599nighon 0.057039 0.000010 0.081646 0.000014 0.310530 0.421239 0.048896 0.080615 0.000010
20600nighon 0.052181 0.000010 0.066098 0.000010 0.319248 0.427742 0.052819 0.081883 0.000010
