19131niggun 0.580909 0.201381 0.013028 0.025945 0.051933 0.042202 0.044436 0.000010 0.000010 0.040146
19150niggun 0.248453 0.352087 0.000010 0.081151 0.027716 0.121137 0.047498 0.000010 0.001640 0.120298
19162indgun 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.525393 0.000010 0.449498 0.025039
19174affgun 0.596602 0.174293 0.019303 0.062101 0.136843 0.010818 0.000010 0.000010 0.000010 0.000010
19190indgun 0.096501 0.001949 0.000010 0.000010 0.000010 0.000010 0.465776 0.000010 0.435715 0.000010
19235gutgun 0.000010 0.000010 0.315027 0.325006 0.000010 0.000010 0.010639 0.000010 0.008577 0.340702
19294affgun 0.593714 0.183199 0.021742 0.027569 0.155671 0.017306 0.000768 0.000010 0.000010 0.000010
19416chlbar 0.000010 0.000013 0.000010 0.853173 0.000010 0.000010 0.000013 0.000011 0.000010 0.146740
19425chlbar 0.000010 0.000010 0.021606 0.846097 0.000010 0.000011 0.000010 0.000010 0.000010 0.132226
19426puebar 0.000010 0.000010 0.000010 0.854732 0.000010 0.000010 0.000010 0.003410 0.001904 0.139894
19427puebar 0.000010 0.000010 0.000010 0.846030 0.000010 0.000010 0.000010 0.001342 0.003264 0.149304
19428puebar 0.000010 0.000010 0.000010 0.846093 0.000010 0.000010 0.000010 0.000521 0.000010 0.153316
19435chlbar 0.000010 0.000010 0.064599 0.804933 0.000010 0.000017 0.000010 0.000010 0.000010 0.130391
19437tanbar 0.000012 0.000010 0.000010 0.999757 0.000010 0.000010 0.000157 0.000014 0.000010 0.000010
19519affgun 0.557976 0.175941 0.013400 0.048271 0.088904 0.046434 0.026517 0.000010 0.001632 0.040915
19546abegun 0.630452 0.189508 0.007638 0.033217 0.066870 0.045360 0.026138 0.000797 0.000010 0.000010
19708abegun 0.667868 0.177628 0.014695 0.000010 0.053118 0.055004 0.031646 0.000010 0.000010 0.000010
19881unibel 0.398154 0.000010 0.009808 0.196326 0.012436 0.150233 0.052791 0.000010 0.005695 0.174537
20068gutbel 0.000010 0.000010 0.300266 0.351135 0.000010 0.004951 0.022720 0.000010 0.008707 0.312181
20069gutbel 0.046334 0.000010 0.213879 0.296098 0.025472 0.040204 0.054587 0.000010 0.003499 0.319908
20092unibel 0.517588 0.000010 0.005545 0.129191 0.012809 0.183879 0.045756 0.000010 0.000010 0.105202
20120unibel 0.381965 0.000010 0.014849 0.195324 0.014874 0.164152 0.056070 0.000010 0.012175 0.160570
20126unibel 0.357103 0.000010 0.014725 0.185873 0.030803 0.176186 0.054511 0.000010 0.010927 0.169853
20128unibel 0.415514 0.000010 0.017683 0.169832 0.011563 0.135913 0.075913 0.000010 0.000372 0.173189
20135unibel 0.403792 0.000010 0.015577 0.186556 0.008443 0.157034 0.050166 0.000010 0.007998 0.170416
20149unibel 0.566621 0.000010 0.005447 0.117929 0.026150 0.182111 0.038454 0.000010 0.001045 0.062222
20418gumhon 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
20419gumhon 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
20420gumhon 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
20421ranhon 0.531225 0.043994 0.046084 0.074087 0.135427 0.166113 0.001431 0.000010 0.001619 0.000010
20425abehon 0.477318 0.048915 0.092116 0.068514 0.048528 0.264570 0.000010 0.000010 0.000010 0.000010
20426gumhon 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
20427gumhon 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
