Sample node,Individual,Clade,gulf,carib,out
401,27698gutqui,carib,0.014034161156696107,0.9859658388432975,0.0
402,27707uniqui,carib,0.016666889991660265,0.9833331100083238,0.0
403,27707uniqui,carib,0.016840437530414205,0.9831595624695354,0.0
404,27709uniqui,carib,0.016518498746527843,0.9834815012534646,0.0
405,27709uniqui,carib,0.01634061881711719,0.9836593811828676,0.0
406,27936flotam,gulf,0.7362033397229725,0.2637966602770438,0.0
407,27936flotam,gulf,0.7380399104977711,0.2619600895022339,0.0
408,28366gumboc,carib,0.010001546758646444,0.9899984532413241,0.0
409,28366gumboc,carib,0.010086249319253698,0.9899137506807335,0.0
410,28389abeboc,carib,0.014288878268941865,0.9857111217310356,0.0
411,28389abeboc,carib,0.014949405031238183,0.9850505949687373,0.0
412,28713puequi,carib,0.014884951906450861,0.9851150480935108,0.0
413,28713puequi,carib,0.01639772686712334,0.9836022731328471,0.0
414,28939puequi,carib,0.013041750123585452,0.9869582498763931,0.0
415,28939puequi,carib,0.014831000688005023,0.9851689993119807,0.0
416,29137nigqui,carib,0.01574727872761468,0.9842527212723623,0.0
417,29137nigqui,carib,0.015211204141973248,0.9847887958580214,0.0
418,29212indqui,carib,0.009818217680044974,0.9901817823199247,0.0
419,29212indqui,carib,0.008756636014719592,0.9912433639852699,0.0
420,29213indqui,carib,0.007752990848402149,0.9922470091515815,0.0
421,29213indqui,carib,0.008806229733940355,0.9911937702660398,0.0
422,30001nigqui,carib,0.014903073707041026,0.9850969262929394,0.0
423,30001nigqui,carib,0.01470083481480252,0.9852991651851721,0.0
424,33023nigqui,carib,0.01448636876827204,0.985513631231716,0.0
425,33023nigqui,carib,0.013954784978193172,0.9860452150217737,0.0
426,52988atltam,gulf,0.737377197891161,0.2626228021088454,0.0
427,52988atltam,gulf,0.7370737815825874,0.262926218417421,0.0
428,52989nigtam,gulf,0.7375253419590797,0.26247465804092157,0.0
429,52989nigtam,gulf,0.7368512685736865,0.2631487314263268,0.0
430,52990atltam,gulf,0.7382048124379688,0.2617951875620415,0.0
431,52990atltam,gulf,0.7306974331256768,0.2693025668743395,0.0
432,54649casliz,carib,0.13861547909136168,0.861384520908611,0.0
433,54649casliz,carib,0.1490868072470149,0.850913192752951,0.0
434,54650casliz,carib,0.09581620606440681,0.904183793935579,0.0
435,54650casliz,carib,0.08039173787100337,0.9196082621289583,0.0
436,54689atlliz,gulf,0.4820237585243588,0.5179762414756252,0.0
437,54689atlliz,gulf,0.48036162851452974,0.5196383714854537,0.0
438,54761nigliz,gulf,0.5788236743192313,0.42117632568076124,0.0
439,54761nigliz,gulf,0.5832397767228704,0.41676022327713663,0.0
440,54786atlliz,gulf,0.6997203784873313,0.3002796215126885,0.0
441,54786atlliz,gulf,0.7091094033319969,0.2908905966680113,0.0
442,54849atlliz,gulf,0.7431646958674659,0.2568353041325331,0.0
443,54849atlliz,gulf,0.7491573036134812,0.2508426963865484,0.0
444,62263pueala,carib,0.031274383654486045,0.9687256163455056,0.0
445,62263pueala,carib,0.030674588136963606,0.969325411863032,0.0
446,62264pueala,carib,0.03650292841598316,0.9634970715839929,0.0
447,62264pueala,carib,0.036087534972873876,0.9639124650271148,0.0
448,62515gemarc,carib,0.04262739374644259,0.9573726062535435,0.0
449,62515gemarc,carib,0.0415995079156036,0.9584004920843556,0.0
450,62549ecoarc,gulf,0.43676045852744627,0.5632395414725196,0.0
451,62549ecoarc,gulf,0.4442454597058189,0.5557545402941467,0.0
452,62550abearc,carib,0.052296138866452506,0.9477038611335307,0.0
453,62550abearc,carib,0.051208502384449524,0.9487914976155134,0.0
454,62551abearc,carib,0.04357179434620647,0.9564282056537795,0.0
455,62551abearc,carib,0.04830937419858651,0.9516906258013758,0.0
456,62552abearc,carib,0.04479570319845313,0.9552042968014899,0.0
